Department for Transport statistics,,,,,,,,,,
Vehicle Licensing Statistics (),,,,,,,,,,
,,,,,,,,,,
Table VEH0105,,,,,,,,,,
"Licensed vehicles at the end of the year by body type and upper and lower tier local authority 1 , including diesel cars and vans, United Kingdom, 2017",,,,,,,,,,
,,,,,,,,,,     Thousand
,,,,,,,,,Of which:,
ONS LA Code,Region/Local Authority,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Buses and coaches,Other vehicles 2,Total,Diesel Cars,Diesel Vans
E06000028,   Bournemouth UA,86.2,4.1,9,0.4,0.4,0.6,100.8,26.2,8.5
E06000023,   Bristol City UA,181.5,8.9,26.9,5.7,3.5,2.8,229.3,61.1,25.8
E06000052,   Cornwall UA,296.3,17.4,54.2,4.2,1.3,15.8,389.1,131.9,51.7
E06000053,   Isles of Scilly UA,0.5,0.1,0.2,-,-,0.1,0.9,0.2,0.2
E06000024,   North Somerset UA,119.8,5.7,13.1,2,0.4,2.3,143.3,45.6,12.4
E06000026,   Plymouth UA,111.9,7,11.9,0.6,0.5,0.9,132.9,42.9,11.5
E06000029,   Poole UA,81.9,4.4,11.6,0.8,1.1,0.8,100.5,25.8,10.9
E06000025,   South Gloucestershire UA,240.1,8,37.8,2.1,0.6,2.9,291.4,112.3,36.9
E06000030,   Swindon UA,226.8,5.4,42.7,4.8,3.1,1.3,284,137.1,42.2
E06000027,   Torbay UA,66.3,3.9,8.1,0.4,0.2,0.6,79.7,22.6,7.7
E06000054,   Wiltshire UA,281.4,14.3,48.4,4.3,1,9.3,358.8,116.4,46.5
E10000008,   Devon,437.2,22.2,77.2,6.6,2.6,26.9,572.6,183.2,73.4
E07000040,      East Devon,80.6,4,12.6,0.9,0.3,4.6,103.1,31.3,11.8
E07000041,      Exeter,67.1,2.7,12.5,0.4,0.8,1.4,84.9,30.2,12.2
E07000042,      Mid Devon,45.4,2.4,8,1,0.2,4.3,61.2,20.1,7.6
E07000043,      North Devon,49.5,2.6,9.6,0.9,0.3,4,66.9,20.2,9.1
E07000044,      South Hams,50.8,2.7,9,0.7,0.3,3,66.5,21.3,8.4
E07000045,      Teignbridge,74.1,4.4,12.7,1.1,0.3,2.7,95.2,29.1,12
E07000046,      Torridge,37.3,1.8,7.2,0.6,0.3,3.9,51.1,16.2,6.9
E07000047,      West Devon,32.3,1.4,5.6,0.9,0.2,2.9,43.3,14.8,5.3
,Local Authority District unknown 3,0.2,0.1,0.1,-,-,0.1,0.4,-,-
E10000009,   Dorset,246.4,13,36.4,3,1.4,8.9,309,91.7,34.5
E07000048,      Christchurch,28,1.2,3.2,0.2,0.1,0.3,32.9,8.1,3
E07000049,      East Dorset,57.8,2.9,8.9,0.8,0.7,1.3,72.4,20.6,8.5
E07000050,      North Dorset,42,2.1,6.5,0.6,0.1,2.3,53.6,18,6.1
E07000051,      Purbeck,27,1.6,4.3,0.4,0.1,1,34.4,9.8,4
E07000052,      West Dorset,59.8,3,9.8,0.9,0.3,3.6,77.3,23.8,9.3
E07000053,      Weymouth and Portland,31.7,2.1,3.7,0.2,0.1,0.4,38.2,11.3,3.5
,Local Authority District unknown 3,0.1,-,-,-,,-,0.1,-,-
E10000013,   Gloucestershire,372.9,16.8,53.7,6.4,1.8,10.1,461.7,154.4,51.5
E07000078,      Cheltenham,56.9,2.4,4.9,0.5,0.2,0.4,65.2,19.8,4.6
E07000079,      Cotswold,55.1,2.4,7.7,0.9,0.3,2.8,69.3,22.9,7.3
