Tesla Model X 75D,0.001,417,4,5500,9.34,9.7,2,23.3,37.68,0.0486,0.0214
Tesla Model X 75D,0.001,417,4,5500,9.34,9.7,1,22.3,37.68,0.0486,0.0214
Tesla Model X 90D,0.001,417,4,5500,9.34,9.7,1,23.3,37.68,0.0486,0.0214
Tesla Model X 90D,0.001,417,4,5500,9.34,9.7,2,24.1,37.68,0.0486,0.0214
Tesla Model X P100D,0.001,713,4,6000,9.34,9.7,1,23.7,45.71,-0.0555,0.0216
Tesla Model X P100D,0.001,713,4,6000,9.34,9.7,2,26.6,45.71,-0.0555,0.0216
Toyota RAV4 EV,0.001,1,2,4250,9.73,0,1,31.9,32.246,0.27335,0.022058
Toyota RAV4 EV,0.001,1,2,4250,9.73,0,2,28.8,32.246,0.27335,0.022058
Toyota RAV4 EV,0.001,1,2,4250,9.73,0,2,31.3,32.246,0.27335,0.022058
Toyota RAV4 EV,0.001,1,2,4250,9.73,0,1,32.2,32.246,0.27335,0.022058
VOLKSWAGEN e-Golf,0.1,115,4,3750,3.61,135.2,2,177.8,39.36,0.5083,0.0125
VOLKSWAGEN e-Golf,0.1,115,4,3750,3.61,135.2,1,149.5,39.36,0.5083,0.0125
VOLKSWAGEN e-Golf,0.1,115,4,3625,3.61,135.2,2,179.2,39.36,0.5083,0.0125
VOLKSWAGEN e-Golf,0.1,115,4,3625,3.61,135.2,1,149.7,39.36,0.5083,0.0125
